"Feature\_Name","Novel-pred","Plausible-pred","Utility-pred","InterestScore-pred","Interesting Overall-pred","ai-explanation"
"(AF) atrial fibrillation genetic risk","2","4","3","3","1","AF polygenic risk robustly predicts incident AF and downstream complications (stroke/HF); integrates life-long substrate and conduction remodeling. Actionable for earlier rhythm surveillance and risk stratification even if non-modifiable."
"age","1","4","3","1","0","Age is a dominant driver of CVD/MI/HF risk in virtually all models; essential covariate but not novel. "
"Non-cancer illness code, self-reported heart","1","4","3","1","0","Baseline self-reported heart disease denotes established pathology and strongly predicts recurrent CVD/HF—clinically obvious, low novelty. ([The American Journal of Medicine][3])"
"Number of treatments/medications taken","3","3","3","3","1","Polypharmacy signals multimorbidity/frailty and independently associates with major CV events and mortality; prompts medication review and deprescribing strategies. "
"Standing height","3","4","2","3","1","Taller stature is causally linked to higher AF risk (atrial size/volume load); AF is a gateway to HF/arrhythmias—non-modifiable but informative for targeted screening. ([PMC][6], [PLOS][7])"
"Leg fat-free mass (right)","4","3","2","4","1","Higher appendicular lean mass associates with greater AF risk independent of adiposity—counterintuitive vs. sarcopenia narrative; suggests hemodynamic/atrial stretch pathways worth probing. "
"SHBG","3","3","2","3","1","Higher SHBG associates with lower CHD/MI risk in large cohorts/MR; reflects metabolic status and hepatic hormone binding. As a low-cost biomarker, it’s a plausible, moderately novel signal to test against composite CVD endpoints. ([PMC][10], [Nature][11])"
"(CVD) cardiovascular disease genetic risk","2","4","3","3","1","CAD/CVD polygenic scores stratify future events and can augment clinical risk tools—moderate novelty now, clear biological plausibility. ([AHA Journals][12], [JACC][13])"
"Urate","3","3","3","3","1","Higher serum urate predicts incident HF/CVD in cohorts/meta-analyses; plausible via endothelial dysfunction, oxidative stress, BP effects. Modifiable (urate-lowering therapies) though trial results are mixed—still a pragmatic biomarker to explore."
"Microalbumin in urine","1","4","4","2","0","Albuminuria (even below classic microalbumin thresholds) is a strong, independent predictor of CV events/HF; highly actionable (RAAS blockade, BP/DM control) but well-established, so low novelty."
